buildingID,buildingTitle,buildingDesc,buildingUpgradeDesc
0,연구소,연구소입니다.,메이커 님께서 계신 곳이자 이 도시의 중심 시설입니다.\n연구 등급을 올릴 수 있습니다.
1,광산,광산입니다.,기초 생산시설입니다.\n여러 가지 쓸모 있는 것들을 만들어 냅니다.
2,장벽,장벽입니다.,도시를 지키는 장벽입니다.\n야생화된 마키나들이나 적대적인 호문들로부터 우리를 지켜줍니다.
3,거주지,거주지입니다.,도시에 받아들인 호문들의 생활공간입니다.
4,온실,온실입니다.,온실입니다.
5,발전소,발전소입니다.,발전소입니다.
6,공장,공장입니다.,공장입니다.
7,집회소,집회소입니다.,집회소입니다.
8,학교,학교입니다.,학교입니다.
9,교회,교회입니다.,교회입니다.
10,제철소,제철소입니다.,제철소입니다.
11,파츠 공장,파츠 공장입니다.,파츠 공장입니다.
12,총기 공장,총기 공장입니다.,총기 공장입니다.
13,프로세서 공장,프로세서 공장입니다.,프로세서 공장입니다.
14,시장,시장입니다.,시장입니다.
15,비디오실,비디오실입니다.,비디오실입니다.
