StoryID,AutoStory,ReqLv,ReqStat0,ReqStat1,ReqStat2,ReqStat3,ReqStat4,ReqStat5,ReqStat6,ReqStat7,ReqStat8,Schedule0,Schedule1,Schedule2,Schedule3,Schedule4,Schedule5,Schedule6
0,1,1,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0
1,1,1,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0
2,0,1,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0
3,0,1,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0
4,0,1,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0
5,0,1,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0
6,0,1,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0
7,0,1,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0
8,0,1,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0
9,0,1,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0
